ID,ROUGE-1,ROUGE-2,ROUGE-L,BLEU,METEOR,BERTScore_P,BERTScore_R,BERTScore_F1,FKGL,DCRS,CLI
0,0.11733333333333333,0.021447721179624665,0.064,0.0001447546385462447,0.036231884057971016,0.8620195984840393,0.786002516746521,0.8222578763961792,6.2,8.98,8.11
1,0.11176470588235295,0.0650887573964497,0.1,0.016905059999066756,0.04356035026112011,0.8305553197860718,0.7868859171867371,0.8081311583518982,22.1,15.95,19.1
2,0.12389380530973451,0.07111111111111111,0.08849557522123895,0.001486891542501288,0.04772282326306414,0.87181556224823,0.7892464399337769,0.8284788131713867,13.3,11.49,11.72
3,0.1642512077294686,0.06796116504854369,0.11594202898550725,0.037537484890067155,0.0674491374524076,0.8860778212547302,0.813069760799408,0.8480052947998047,11.9,9.93,10.51
4,0.06698564593301436,0.01923076923076923,0.06698564593301436,6.815534505698686e-07,0.024210507269686047,0.8383914232254028,0.7736657857894897,0.804729163646698,11.1,9.58,8.48
5,0.15774647887323942,0.03966005665722379,0.10704225352112677,0.05249963439318554,0.0665558563926726,0.8350225687026978,0.8054852485656738,0.8199880123138428,13.6,11.48,15.43
6,0.06356968215158924,0.01474201474201474,0.05378973105134475,0.00020713134523056898,0.03352076365508067,0.8389692902565002,0.7740536332130432,0.8052051663398743,7.2,5.42,5.1
7,0.09034907597535932,0.03711340206185567,0.08213552361396302,1.553319884933365e-05,0.03239241092086997,0.8710854649543762,0.7844990491867065,0.8255279660224915,8.9,9.26,10.95
8,0.10483870967741934,0.032388663967611336,0.06854838709677419,0.004045077079935464,0.049288391598010836,0.840969443321228,0.7770555019378662,0.8077501058578491,17.0,8.9,14.68
9,0.14619883040935672,0.047058823529411764,0.1111111111111111,0.059929700338612786,0.058667607668067216,0.8520069122314453,0.7820377945899963,0.8155243396759033,9.9,5.98,13.03
10,0.1483375959079284,0.010282776349614397,0.10230179028132992,0.007339110258457387,0.060723833118877246,0.8532912731170654,0.7886046171188354,0.8196737170219421,9.9,7.11,16.74
11,0.22287390029325516,0.029498525073746316,0.1290322580645161,0.06936633243277923,0.08064237409235166,0.870814859867096,0.8025922775268555,0.8353129029273987,11.1,8.81,11.08
12,0.13636363636363635,0.03428571428571429,0.11363636363636363,0.035924321840465734,0.0655080162821976,0.8301676511764526,0.7863935232162476,0.8076879382133484,10.1,6.61,12.04
13,0.13541666666666666,0.015706806282722512,0.0625,0.008392591799729886,0.058005884014979414,0.8796385526657104,0.7926861047744751,0.8339017629623413,14.8,11.59,14.1
14,0.09065155807365438,0.02279202279202279,0.07365439093484419,6.699524451358005e-06,0.031075201988812924,0.9009621143341064,0.8034857511520386,0.8494366407394409,11.5,10.69,11.43
15,0.0748663101604278,0.005376344086021506,0.053475935828877004,4.190223317026535e-06,0.025989026855327745,0.8470255136489868,0.7875738143920898,0.8162184953689575,6.4,9.21,6.59
16,0.1844380403458213,0.023188405797101446,0.09221902017291066,0.059722298048179176,0.06657323055360896,0.8401764631271362,0.7817773818969727,0.8099256157875061,12.3,7.66,9.99
17,0.04954954954954954,0.02262443438914027,0.04504504504504504,4.225102139026444e-09,0.01565887737894483,0.8566168546676636,0.7770363092422485,0.8148882985115051,6.8,8.04,5.97
18,0.1342281879194631,0.058426966292134834,0.1029082774049217,0.0031169370128557527,0.05062066446357565,0.8836803436279297,0.7974852919578552,0.8383731842041016,9.7,9.87,10.21
19,0.12314225053078556,0.017057569296375266,0.1019108280254777,0.0035126813495342797,0.0455052146311971,0.8517627120018005,0.7690081000328064,0.8082727193832397,16.6,7.28,9.93
20,0.07853403141361257,0.021052631578947368,0.06282722513089005,0.0027067663850172973,0.03838437033863341,0.8344725966453552,0.799548327922821,0.8166372179985046,11.2,12.09,14.31
21,0.1789473684210526,0.07936507936507936,0.13157894736842107,0.029137602699849045,0.07278139562783759,0.8721103668212891,0.7978597283363342,0.8333344459533691,11.5,8.77,9.0
22,0.1313131313131313,0.015228426395939085,0.08585858585858586,0.013260702325537874,0.046511627906976744,0.8402438163757324,0.7801079750061035,0.8090600371360779,9.9,7.58,14.5
23,0.0462046204620462,0.026578073089700997,0.0462046204620462,1.0774706379613672e-11,0.020012015671142927,0.8603012561798096,0.765178918838501,0.8099567890167236,2.1,9.35,-0.39
24,0.1310344827586207,0.013888888888888886,0.0896551724137931,0.01352572948284782,0.05447470817120622,0.8501566648483276,0.7922972440719604,0.8202078342437744,15.0,8.49,8.77
25,0.0708955223880597,0.0149812734082397,0.04850746268656717,1.681812209346667e-05,0.030222710445906343,0.8417338728904724,0.7754157781600952,0.8072150349617004,14.6,9.59,14.5
26,0.06864988558352401,0.009195402298850575,0.05949656750572082,0.00015266476377609787,0.02995146046656088,0.8199193477630615,0.7833160758018494,0.8011998534202576,19.6,15.33,23.2
27,0.1818181818181818,0.0664819944598338,0.12672176308539942,0.035873055820327626,0.06694576575171554,0.8437208533287048,0.7982844114303589,0.8203740119934082,14.8,9.66,13.29
28,0.10023866348448687,0.009592326139088728,0.07159904534606207,0.005142096640715831,0.03965107057890563,0.8285626173019409,0.8026226162910461,0.8153862953186035,10.0,8.39,14.9
29,0.06938775510204082,0.012295081967213115,0.044897959183673466,2.7368556773086104e-05,0.033515006132633134,0.8778679370880127,0.7848479747772217,0.8287559747695923,7.8,9.26,10.14
30,0.15,0.0319634703196347,0.1,0.009002697691057387,0.05749622766899291,0.8257544040679932,0.7839542031288147,0.8043116331100464,9.5,8.38,8.99
31,0.158311345646438,0.06366047745358092,0.12137203166226912,0.03332932775373354,0.07012139876613016,0.863783061504364,0.7950020432472229,0.827966570854187,12.5,9.84,11.03
32,0.12280701754385966,0.023529411764705882,0.07017543859649122,0.0016117053724611246,0.05257754196392544,0.8232879638671875,0.7852377891540527,0.8038128018379211,16.6,9.86,19.02
33,0.10666666666666667,0.022321428571428572,0.06222222222222222,4.563751665580833e-05,0.04218731352189998,0.8322764039039612,0.7779275178909302,0.8041847348213196,13.3,9.72,13.69
34,0.11378555798687089,0.05274725274725275,0.0700218818380744,0.0011107425368994228,0.050198017925833296,0.8711117506027222,0.7962499856948853,0.8320002555847168,19.7,13.41,16.55
35,0.14207650273224043,0.04395604395604396,0.09836065573770492,0.028403330985916367,0.05765796588220161,0.8262906074523926,0.7802649736404419,0.8026185035705566,13.4,8.55,11.26
36,0.10752688172043011,0.04324324324324324,0.07526881720430106,0.00881812160137147,0.04079782411604714,0.8580409288406372,0.7880531549453735,0.8215591907501221,11.9,11.64,13.4
